id	name	mass [g/mol]	latitude [rad]	longitude [rad]
Top
10136	C2	24.022	0.506160909162486	0.5512467116547114
10137	C	12.011	1.1669695456672418	-1.0249757309579104
10138	C	12.011	0.5731573952384308	-0.36674915482727616
10139	C2	24.022	1.4885888692161122	-0.3552624103500923
10140	C2	24.022	0.502492370708069	-1.7210540926520899
10141	C2	24.022	0.944989080172399	2.224095105395293
10142	C2	24.022	0.21732086563045486	2.693861265299631
10143	C2	24.022	0.7787310495522021	-0.5171583514650634
10144	C2	24.022	0.2841102396117725	-0.585477892159498
10145	C2	24.022	0.2456779186520996	-0.368448762762271
10146	C3	36.033	0.25506482234023925	-0.7947923416737476
10147	C3	36.033	0.11084454851501407	1.9384322236892972
10148	C2	24.022	0.028047589276955994	0.49010246002654556
10149	C2	24.022	0.29152139483481615	2.4713306790132386
10150	C3	36.033	0.4018191261865508	-2.4757221043413447
10151	C2	24.022	1.0867066151922085	-1.6425101233825015
10152	C5	60.05499999999999	1.0517492653652658	2.246795188659059
10153	C2	24.022	0.7916598578918146	1.4934385920345146
10154	C2	24.022	0.5591980316636408	2.1537881665250542
10155	C3	36.033	0.7285606011145352	-2.086351719352629
10156	C2	24.022	0.3290998646177968	-0.8505343832260389
10157	C2	24.022	0.2558309053227116	-1.7782227366893184
10158	C2	24.022	0.3632871569913515	-2.6285208717140467
10159	C2	24.022	0.6360539337119836	3.08812341207535
10160	C	12.011	0.8398899123505998	2.969751218497043
10161	C2	24.022	0.7915271939842723	2.36222387645566
10162	C4	48.044	0.45382765848537526	2.120456405765752
10163	C2	24.022	0.17191479459595946	-3.1335787760509466
10164	C2	24.022	0.5080044606931804	-0.7969241482594168
10165	C2	24.022	0.40246576889301855	0.5860790330087786
10166	C2	24.022	0.277331393137358	1.290324284769601
10168	C2	24.022	0.6310640007816215	-2.847374241313568
10169	C2	24.022	0.44423047053694825	0.08136230780284409
10170	C2	24.022	1.4482612738387075	-0.7105840778289461
10171	C	12.011	0.36160434680893927	1.183807480138083
10172	C2	24.022	0.3963038542536748	-2.8001069221777866
10173	C2	24.022	0.4937601797227276	0.5798071591927985
10174	C2	24.022	0.33742796309625467	-0.21988803055580686
10175	C2	24.022	0.3045349202384725	2.641853618988093
10176	C2	24.022	0.31826907347308436	-1.3170142718515019
10177	C4	48.044	0.8941002630092656	-1.1097324665410924
10178	C2	24.022	0.5004134290495855	-1.3219998599484204
10179	C2	24.022	0.7833725888145959	-0.5513381376924326
10180	C2	24.022	0.17638427578900834	2.6787126233111023
10181	C2	24.022	0.3334950893175115	-0.3598347814812857
10182	C2	24.022	0.4150245210283881	-0.7844203331682097
10183	C2	24.022	0.5427113564765534	-2.4692890576746445
10184	C2	24.022	0.21782275908693746	-2.45714159744809
10185	C2	24.022	0.19031141515798997	-0.10915137762209386
10186	C2	24.022	0.6264679920962104	2.242252698023565
10187	C2	24.022	0.5098597880219207	-2.299040758588576
10188	C2	24.022	0.16028754979582457	2.2678799710441804
10189	C3	36.033	0.04507168182285229	-1.2896767998867984
10190	C2	24.022	0.1036194098909865	2.1788947464358372
10191	C2	24.022	1.1586333507473623	0.9106690896943378
10192	C	12.011	1.0755299021720872	-2.210776940576627
10194	C2	24.022	0.23800082453191074	1.1752780804629637
10195	C	12.011	0.5304007034973216	2.2122343993136346
10196	C2	24.022	0.35535052610598683	2.3931395215014004
10197	C2	24.022	0.4302963810715545	-1.4530816720455222
10198	C2	24.022	1.009425833296446	-2.646840324826826
10199	C	12.011	0.5375972800690385	1.68518309507807
10200	C2	24.022	0.10748607375027275	0.8597331321188921
10201	C2	24.022	0.5678454323214559	-0.44619096831928545
10202	C2	24.022	0.28510937605974757	1.5740081570851547
10203	C2	24.022	0.32405401229289826	1.8247862019219365
10204	C	12.011	0.34070349805197175	-2.399319935393682
10205	C2	24.022	0.13174175681542533	3.0800057527149023
10206	C2	24.022	0.3567249997386784	2.541956518582166
10207	C	12.011	0.33130988005277057	1.409675084529048
10208	C2	24.022	1.4442481666117328	1.5785785872918412
10209	C2	24.022	1.0574856509122958	1.640946015064477
10210	C2	24.022	0.5896623445401984	-1.5041049771604222
10211	C	12.011	0.5938620030291981	2.777353676009275
10212	C2	24.022	0.40578514384645353	-2.9619296794411762
10213	C2	24.022	0.3345220659418584	0.5132342899801825
10214	C2	24.022	0.5963252470112684	1.9577408358540516
10215	C	12.011	1.2528259208817847	1.4233535995338122
10216	C2	24.022	0.11440486325265596	1.474484333369619
10217	C2	24.022	0.04964205925725634	-1.234202607038069
10218	C	12.011	0.8451848688017379	0.9202609969470483
10219	C2	24.022	0.5745135493223772	1.6366520016307953
10220	C	12.011	0.5387477706866158	1.6430328409662054
10221	C2	24.022	0.8062468396915553	-0.5617347729529821
10222	C	12.011	0.3514500436967298	-1.4292153038196544
10223	C	12.011	1.2927268877655256	-0.6435331836284309
Bottom
