id	name	mass [g/mol]	latitude [rad]	longitude [rad]
Top
2660	C184190	2212306.089996646	1.2072582369078095	0.07242874030130392
2661	C2	24.022	0.5577106835819515	3.0042869353012818
2662	C3	36.033	0.3853560904276078	-2.1382833127711627
2663	C2	24.022	0.5164746903341882	-2.9112812369525285
2664	C	12.011	0.10486945191939458	-1.237749084821825
2665	C2	24.022	0.7288749617244787	2.494490784239659
2666	C2	24.022	0.6622185769291155	-1.1482418710540938
2667	C2	24.022	0.4682206385161798	-1.670243735978886
2668	C	12.011	0.27432070632008954	0.6978996570459687
2669	C2	24.022	0.6650857893279667	-2.6540174179873754
2670	C	12.011	0.14499433473688428	2.5195704658209386
2671	C2	24.022	1.5481821584013502	2.721454417532555
2672	C2	24.022	0.3756174835395806	-0.8267976992159658
2673	C	12.011	0.8036978496292907	-1.797706133345955
2674	C2	24.022	0.7174174562822255	-1.4235936713727793
2675	C2	24.022	0.49152101045286933	-2.1156458731485666
2676	C	12.011	0.19052815366886847	-1.7391229404950068
2677	C2	24.022	0.623204591741754	-3.1143676469689905
2678	C2	24.022	0.11781654382549223	1.3877151206611449
2679	C	12.011	0.3313938542300629	-0.08169441324086894
2680	C3	36.033	1.529983399894277	-1.068052464017309
2681	C	12.011	1.1008464149892048	-0.9687757095558575
2682	C2	24.022	1.103063463532459	-0.7851161285494958
2683	C	12.011	0.7458978085576553	-1.2560160815073491
2684	C2	24.022	0.3710233956665577	-0.8297223080534267
2685	C2	24.022	0.7466286168025149	-2.099926460752671
2686	C2	24.022	0.5815467770229893	3.1172495539292537
2687	C	12.011	0.4801122581971808	-2.5503150896500695
2688	C	12.011	0.5199105335399203	-1.8400275176513603
2689	C2	24.022	0.6883554434909821	-0.441266580504396
2690	C	12.011	0.7660004844902233	-0.34613357883362844
2691	C	12.011	0.5128880449734394	2.209334230731524
2692	C	12.011	1.4416448675681348	3.119499262777112
2693	C2	24.022	0.5114326630761744	-1.1915347751367997
2694	C	12.011	0.7111659800695149	-2.0194967032340525
2695	C	12.011	0.5400924475770408	-0.7825565972451819
2696	C	12.011	0.4015239217177776	-1.0792786608112166
2697	C	12.011	0.2879389973949569	1.4312343202984807
2698	C2	24.022	0.463338721053837	0.770715151941592
2699	C2	24.022	1.3357088456602144	2.6323434200477007
2700	C	12.011	0.6020278980736015	-2.834827285329751
2701	C	12.011	0.8620259108068211	2.748741450700509
2702	C	12.011	0.34469951884739625	-0.009639008569254391
2703	C2	24.022	0.4450361532892121	-0.9364092919170296
2704	C2	24.022	0.814583561252577	-0.7048659601488071
2705	C2	24.022	0.5201988835583389	0.06702289765646266
2706	C	12.011	0.9153111465330999	-0.372755613423706
2707	C2	24.022	0.37933493231122983	-0.8786723651501538
2708	C2	24.022	0.12169311436587384	-1.925000739264297
2709	C	12.011	0.3026355291546351	1.910675762413662
