Total	Internal	Translational
Top
61.7414261591	0.0	61.7414261591
590.117321527	7.67199567277e-30	590.117321527
17.3789841168	0.0	17.3789841168
198.013339305	0.0	198.013339305
1158.07736133	0.627094830275	1157.4502665
105.835424944	1.91799891819e-30	105.835424944
8.90365205177	3.22372913003	5.67992292173
402.734100687	8.15149540231e-30	402.734100687
52.5820143969	4.79499729548e-31	52.5820143969
485.337039668	0.0	485.337039668
626.622715943	9.81821880018	616.804497143
90.2072490311	0.0	90.2072490311
8.64727965918	0.0	8.64727965918
174.928285208	2.99687330967e-32	174.928285208
725.275691067	1.91799891819e-30	725.275691067
181.898494848	0.0	181.898494848
262.534428944	0.0	262.534428944
96.450480151	0.0	96.450480151
398.406401084	7.67199567277e-30	398.406401084
258.628115618	0.0	258.628115618
30.2348723441	4.79499729548e-31	30.2348723441
454.792982329	0.0	454.792982329
200.639731474	0.0	200.639731474
240.700608529	3.83599783638e-30	240.700608529
264.705601714	0.0	264.705601714
564.888543184	0.0	564.888543184
705.41195702	7.67199567277e-30	705.41195702
678.419762197	7.79187060515e-30	678.419762197
1129.72982869	0.880159017706	1128.84966967
488.992777689	0.0	488.992777689
419.380194854	1.19874932387e-31	419.380194854
595.257559526	0.0	595.257559526
628.758760671	7.67246393422e-30	628.758760671
327.256944564	1.91799891819e-30	327.256944564
577.955757492	7.67199567277e-30	577.955757492
647.513822335	0.0	647.513822335
1224.04175072	4.77181311762	1219.2699376
1182.5713202	0.412176696575	1182.1591435
794.527288691	0.0	794.527288691
1252.16644697	11.1494063131	1241.01704065
553.3598229	0.0	553.3598229
1144.81361737	6.279310796	1138.53430658
591.446313518	0.0	591.446313518
558.036494502	0.0	558.036494502
617.273710317	0.0	617.273710317
674.328504502	0.0	674.328504502
511.791839503	0.0	511.791839503
562.959148633	9.58999459096e-30	562.959148633
1300.89138767	4.92500189554	1295.96638578
546.800902194	1.91799891819e-30	546.800902194
323.293773394	0.0	323.293773394
639.415026722	0.0	639.415026722
1402.03520774	0.594784128617	1401.44042361
722.702591531	0.0	722.702591531
1160.42228315	10.9433240918	1149.47895906
253.373231413	1.91799891819e-30	253.373231413
608.374778275	7.67199567277e-30	608.374778275
800.018620687	7.67199567277e-30	800.018620687
707.270848825	0.0	707.270848825
362.938838012	0.0	362.938838012
557.588683823	0.0	557.588683823
602.018035604	0.0	602.018035604
100.072164437	1.91799891819e-30	100.072164437
895.687307645	0.0	895.687307645
1409.56559168	1.76438274226	1407.80120894
645.491482942	7.67199567277e-30	645.491482942
365.875625641	0.0	365.875625641
Bottom
