Total	Internal	Translational
Top
11.4242584266	4.9949043655	6.42935406105
20.9186127236	4.85905059869	16.0595621249
12.5327582303	1.9751362051	10.5576220252
46.7831778924	4.51651032102	42.2666675714
5.64077391929	2.99687330967e-32	5.64077391929
12.3480159573	1.19874932387e-31	12.3480159573
6.58634698683	3.27139474786	3.31495223897
86.7575199283	7.70975611655	79.0477638117
3.20941980969	1.87304581855e-33	3.20941980969
14.6498359871	7.49218327419e-33	14.6498359871
241.610185503	8.65860521802	232.951580285
147.278802906	0.0	147.278802906
32.0530623588	0.0	32.0530623588
147.098223023	3.99686804305	143.10135498
185.20997008	1.44294982122	183.767020259
30.6910400004	1.19874932387e-31	30.6910400004
36.9673038274	6.44102488463	30.5262789428
17.7248644366	1.75572609483	15.9691383417
54.661286806	4.79499729548e-31	54.661286806
48.7457784229	4.79499729548e-31	48.7457784229
18.2232787587	0.0	18.2232787587
95.3776517515	4.79499729548e-31	95.3776517515
126.489885289	4.79499729548e-31	126.489885289
36.0792828166	6.75852214925	29.3207606673
45.4249295265	1.53650692416	43.8884226023
196.188987902	1.53035193225	194.65863597
58.3293004973	3.37475864813	54.9545418492
51.536004478	4.79967991003e-31	51.536004478
97.8635568752	5.94093971157	91.9226171636
7.43549469096	5.22057587564	2.21491881532
93.5816404829	0.0	93.5816404829
23.8981713983	0.0	23.8981713983
8.29982965359	0.0	8.29982965359
26.9424043133	5.99374661935e-31	26.9424043133
22.6151800999	0.0	22.6151800999
107.648922284	2.99687330967e-32	107.648922284
44.9424958089	0.0	44.9424958089
13.9959322523	0.0	13.9959322523
65.4557150812	0.630678579761	64.8250365015
135.443889488	0.0	135.443889488
21.9658440281	0.0	21.9658440281
46.4945933276	1.87304581855e-33	46.4945933276
173.639232678	4.79499729548e-31	173.639232678
53.0179054956	1.19874932387e-31	53.0179054956
61.9925145526	9.58999459096e-31	61.9925145526
51.1779224663	4.79499729548e-31	51.1779224663
72.1396596076	0.0	72.1396596076
245.14795791	10.2937198711	234.854238039
106.12178718	1.91799891819e-30	106.12178718
2.08294943151	0.31054898565	1.77240044586
16.9349987749	1.19874932387e-31	16.9349987749
62.2386019884	0.0	62.2386019884
92.0327113761	0.0	92.0327113761
15.8533544265	3.6768196897	12.1765347368
41.1627488529	0.0	41.1627488529
105.263018603	2.99687330967e-32	105.263018603
78.3262907506	0.0	78.3262907506
10.3826547109	0.174945439598	10.2077092713
178.210798264	0.0	178.210798264
55.9546246763	5.91705179219	50.0375728842
57.9227509738	0.0	57.9227509738
165.453132784	3.60452118703	161.848611597
8.47356881846	1.68846172915	6.78510708931
78.9063411265	4.79499729548e-31	78.9063411265
54.6406185805	7.49218327419e-33	54.6406185805
5.59916354341	1.09758675571	4.50157678769
40.7135780193	4.79499729548e-31	40.7135780193
57.5870975613	5.17965128831	52.407446273
35.9597390694	0.0	35.9597390694
117.395650638	1.03880705234	116.356843586
67.2699703606	1.19874932387e-31	67.2699703606
80.8350106818	0.0	80.8350106818
20.8065003816	0.0	20.8065003816
56.4519901062	1.19874932387e-31	56.4519901062
82.0637255219	0.0	82.0637255219
22.0397675932	0.0	22.0397675932
44.5552272587	2.64852387325	41.9067033854
84.576226406	0.0	84.576226406
272.709817056	0.973810531182	271.736006525
230.655326937	1.50339390348	229.151933034
164.71974181	1.91799891819e-30	164.71974181
4.8693187601	3.74609163709e-32	4.8693187601
85.0004793677	0.0	85.0004793677
91.6875991657	0.0	91.6875991657
41.7673479327	0.0	41.7673479327
31.2466330131	6.17403001139	25.0726030018
59.7836442625	1.19874932387e-31	59.7836442625
27.9040716792	0.0	27.9040716792
103.373063682	2.39749864774e-30	103.373063682
203.143441422	7.46388108124	195.679560341
61.0039921624	0.0	61.0039921624
15.5664668059	2.99687330967e-32	15.5664668059
52.0720789262	0.0	52.0720789262
95.4215568261	4.79499729548e-31	95.4215568261
31.4830234929	0.0	31.4830234929
15.32375692	0.0	15.32375692
Bottom
