Total	Internal	Translational
Top
188.253612468	4.07016435739	184.183448111
2.76098882592	0.668192207435	2.09279661849
49.1792664845	1.25432469825	47.9249417863
145.923622801	0.0	145.923622801
15.7402964275	0.0	15.7402964275
201.538360544	10.1138189282	191.424541616
88.0867001721	0.0	88.0867001721
28.0422698953	4.79499729548e-31	28.0422698953
129.74701076	0.0336066957398	129.713404065
85.6985771972	1.42942245344	84.2691547438
291.675921237	1.51362248697	290.16229875
95.6899885133	0.0	95.6899885133
54.6247164467	0.0	54.6247164467
175.77815193	0.0	175.77815193
95.5587688538	5.99374661935e-31	95.5587688538
83.0428731045	9.38640749488	73.6564656096
70.2251014502	4.7544364856	65.4706649646
187.373017092	9.07216203974	178.300855052
35.2366813444	0.0	35.2366813444
76.1026754987	0.0	76.1026754987
140.561635445	0.0	140.561635445
62.2870143855	0.0	62.2870143855
27.8750901554	1.19874932387e-31	27.8750901554
27.6317134435	0.0	27.6317134435
181.502839187	3.7948307003	177.708008487
190.833533019	0.0	190.833533019
36.2144332071	1.19874932387e-31	36.2144332071
76.3248600729	0.0	76.3248600729
110.788239327	0.0	110.788239327
118.118613026	1.21619002804	116.902422998
17.2938930391	1.88776784148	15.4061251976
177.94871872	0.0	177.94871872
149.129385832	0.0	149.129385832
61.6627844604	4.79499729548e-31	61.6627844604
171.674155845	0.0	171.674155845
21.6222240807	6.40693392766	15.2152901531
49.3144516109	0.0	49.3144516109
9.07472653731	0.0	9.07472653731
150.628852712	2.99687330967e-32	150.628852712
183.20064941	0.0	183.20064941
57.8767438196	0.0	57.8767438196
205.563720209	5.61876829564	199.944951913
272.393214692	1.52263014763	270.870584544
141.514612638	1.19874932387e-31	141.514612638
81.6198797919	0.0	81.6198797919
286.884230445	7.04562447596	279.838605969
103.502101725	0.0	103.502101725
139.510374469	2.99687330967e-32	139.510374469
333.126206766	4.30787710682	328.818329659
88.8987633983	4.27344498577	84.6253184125
135.359468765	4.83705084231	130.522417923
76.7818392414	0.0	76.7818392414
111.509195936	1.91799891819e-30	111.509195936
128.695436627	0.0	128.695436627
160.789740674	1.91799891819e-30	160.789740674
74.4381120417	1.91799891819e-30	74.4381120417
45.8933630714	0.0	45.8933630714
9.90230181782	1.19874932387e-31	9.90230181782
133.775640658	0.0	133.775640658
89.9332519174	2.99687330967e-32	89.9332519174
201.506161973	0.0	201.506161973
56.4353872992	7.49218327419e-33	56.4353872992
28.9918266284	0.0	28.9918266284
205.550057056	2.1418040732	203.408252983
230.462354661	2.8992739968	227.563080664
87.975444037	0.0	87.975444037
62.877296744	0.0	62.877296744
204.734883986	4.4580394674	200.276844519
179.142693097	1.76527915149	177.377413946
89.5959885286	1.91799891819e-30	89.5959885286
234.398523524	0.888100492193	233.510423032
45.5057590286	0.0	45.5057590286
41.7771939447	4.79499729548e-31	41.7771939447
58.0869511483	0.0	58.0869511483
Bottom
