Total	Internal	Translational
Top
20.8412591028	0.6188454504	20.2224136524
100.905265048	6.07170254588	94.833562502
58.4078102548	9.51348026426	48.8943299906
162.764971063	3.60929271917	159.155678344
17.9477301899	1.49843665484e-31	17.9477301899
4.42503008621	1.72952458393	2.69550550228
81.182712505	4.50553039054	76.6771821145
81.0759412534	2.02517863758	79.0507626158
45.3406724064	6.29799785174	39.0426745546
32.7977178938	0.0	32.7977178938
25.5763127102	0.0	25.5763127102
38.3430943945	1.19874932387e-31	38.3430943945
36.6394176407	0.399547375746	36.2398702649
73.9185685498	1.20867001469	72.7098985351
133.011577679	4.90674078746	128.104836891
52.5791426095	0.0	52.5791426095
1.65216008412	1.34097650167	0.311183582444
156.66098785	6.80218614926	149.8588017
50.5509630597	0.0	50.5509630597
49.6946167683	4.79499729548e-31	49.6946167683
58.3416187256	4.68261454637e-34	58.3416187256
70.9968067107	2.43899468176	68.557812029
66.1380981913	4.67748071478	61.4606174766
4.65766388654	3.51288873973	1.1447751468
21.2067859788	2.00193006684	19.204855912
14.9149757782	0.0403714314277	14.8746043468
155.920507873	3.1290193909	152.791488482
32.2050603319	5.99374661935e-31	32.2050603319
87.3066331658	7.07494033988	80.2316928259
126.793846794	1.68701913615	125.106827657
29.8146466959	0.0	29.8146466959
63.4990100206	0.394465067756	63.1045449528
17.5757359898	0.0	17.5757359898
83.9305166325	0.348537955999	83.5819786765
105.651793962	4.35670566771	101.295088295
23.666760195	1.19874932387e-31	23.666760195
57.2920252712	4.79499729548e-31	57.2920252712
136.448303196	0.435126145874	136.01317705
63.0095392612	2.42576616873	60.5837730925
76.3692929311	4.30713000122	72.0621629298
13.0414063864	2.99687330967e-32	13.0414063864
76.8044567205	0.0	76.8044567205
17.9259477511	2.99687330967e-32	17.9259477511
85.1828172027	3.88968049857	81.2931367041
49.8086338198	1.12206438527	48.6865694346
6.21751262405	1.19874932387e-31	6.21751262405
79.1522029398	4.03261340331	75.1195895365
149.620799199	4.16971341356	145.451085786
24.8249516163	0.29377388433	24.5311777319
68.8445505382	0.0	68.8445505382
68.8437055963	2.00614400592	66.8375615904
25.8697539526	0.973920755489	24.8958331971
36.0561039226	7.46293158625	28.5931723363
37.6010616574	0.0	37.6010616574
44.4115170632	5.86023838407	38.5512786791
16.6550171269	2.99687330967e-32	16.6550171269
25.732992719	7.49218327419e-33	25.732992719
14.5146235102	0.0	14.5146235102
69.4796975573	1.23407031514	68.2456272422
50.5923434093	4.1399090326	46.4524343767
52.8458000054	1.32512296067	51.5206770447
27.9961008909	4.45023852716	23.5458623638
40.9910041571	0.0	40.9910041571
62.6777484536	6.38599363736	56.2917548163
28.1730367628	1.19874932387e-31	28.1730367628
37.5183886709	1.87304581855e-33	37.5183886709
15.2768474117	0.0	15.2768474117
Bottom
