id	name	mass [g/mol]	latitude [rad]	longitude [rad]
Top
3994	C2	24.022	0.5054279720866081	1.3176592599383679
3995	C	12.011	0.656383415566207	3.0308970994116144
3996	C2	24.022	0.7855135471953953	1.6675342742961838
3997	C2	24.022	0.0625921665406886	2.6468314311384686
3998	C2	24.022	1.0827303495637095	2.02287683274647
3999	C2	24.022	0.8452383045032246	1.0883465356981683
4000	C3	36.033	0.5202037684986671	-2.4811138591150295
4001	C	12.011	0.8540216973715403	0.13325963023463636
4002	C3	36.033	0.2307505487975838	-1.0371309155384179
4003	C2	24.022	0.7603274724558852	0.2175376348682666
4004	C	12.011	0.22933755952363266	0.9867530895786172
4005	C2	24.022	0.39696047429968423	-1.0896892948008972
4006	C2	24.022	0.727829251138014	2.040838514685043
4007	C3	36.033	0.5892497081997953	-0.8581664323567694
4008	C2	24.022	1.4488346299974655	-0.5493268960253002
4009	C2	24.022	0.3602057588768194	2.308080730953032
4010	C2	24.022	1.2305571483246087	-0.5332585713538042
4011	C	12.011	1.0598886580485585	0.2032033844047065
4012	C2	24.022	0.7772891709505987	0.6156477450659019
4013	C	12.011	0.6207093049905642	-0.9503082993113272
4014	C	12.011	0.3004995147876026	-0.2457658145181817
4015	C2	24.022	0.4014083102637418	1.8451535403555341
4016	C	12.011	0.203922218066671	-2.242889446587546
4017	C	12.011	0.3100388761384646	2.7276930824128836
4018	C2	24.022	1.1155773043360147	-0.17276538889696205
4019	C	12.011	0.9799505060399398	1.4047606041187222
4020	C2	24.022	0.28021889500199293	-0.8516845480933133
4021	C3	36.033	0.3289877469611719	-0.7328153746889587
4022	C2	24.022	0.5518871666012485	0.1737364100318907
4023	C2	24.022	1.1095277269884944	-1.4056438159566613
4024	C2	24.022	0.7402319098086717	-0.9690049842065048
4025	C	12.011	0.4364415666376363	1.4963929656034336
4026	C	12.011	1.091430525736958	-0.7267940481565527
4027	C2	24.022	0.0834114452827434	-0.5941054473782191
4028	C3	36.033	0.18011845028333992	-1.8092623156561503
4029	C	12.011	1.523464731341639	-1.0988334014321697
4030	C2	24.022	1.1618037382165918	0.17831951772683147
4031	C2	24.022	0.48769663169938515	0.292410433115536
4032	C2	24.022	0.8660029889065884	-1.0553880922177536
4033	C	12.011	0.8642430980862421	-0.4745759822704147
4034	C3	36.033	0.2330020755575778	0.8685287314055536
4035	C	12.011	0.4504631689944869	-0.48267059926876343
4036	C2	24.022	1.1476056791135525	1.1402698028388898
4037	C2	24.022	0.49338541535982056	-1.6294804719944467
4038	C3	36.033	0.30610399841877567	-1.357857244451854
4039	C	12.011	0.711719613120618	0.24396287412487438
4040	C	12.011	0.9249365741641754	1.0302461423652376
4041	C2	24.022	0.9168446426466249	0.7577960813656008
4042	C	12.011	0.6513493365393245	0.26558017577489057
4043	C3	36.033	1.079215900029038	1.8463852825366582
4044	C2	24.022	0.2216024859177692	-0.39274650225423186
4045	C2	24.022	0.06955081889774627	1.2699105151116201
4046	C2	24.022	1.2988954833188235	-0.8557752306094047
4047	C2	24.022	0.6708840803186604	-1.1444367231326569
4048	C2	24.022	0.42335233622336077	-0.5064881273843987
4049	C2	24.022	0.5267954817855834	2.1223288973823156
4050	C	12.011	0.5914444688277174	-0.5952214569292851
4051	C2	24.022	0.6573363836860302	-1.4198198159417599
4052	C2	24.022	1.0412846688513973	-0.510680252390014
4053	C2	24.022	1.2345053293586958	2.9382200714488125
4054	C	12.011	0.3473979836395316	-1.9544928284190897
4057	C	12.011	0.9816875597655903	1.0186080571674279
4059	C	12.011	1.2838242842918852	1.204323304925467
4060	C2	24.022	0.9170616626659331	-0.23865519463338894
4061	C	12.011	1.2768707853389398	-1.1646275401161112
4062	C	12.011	0.2858435360260743	1.1672597708141845
4064	C	12.011	0.7057976610890009	-1.4249174475047164
4065	C	12.011	0.5044102354427401	-0.8468328725291077
4066	C2	24.022	1.025073882887741	1.5033492528145849
4069	C2	24.022	0.316305103233604	1.251995443263018
4072	C	12.011	0.30769868011120644	2.0377859426053826
4073	C	12.011	1.0034445915167451	0.9795268284329635
4075	C2	24.022	0.5345808601194738	-1.005478548183806
4076	C	12.011	0.8122170370609316	0.9725000605215346
4077	C2	24.022	0.807341403290387	-2.9670063623664396
4078	C	12.011	0.39409894181683663	-1.0101621829136413
4080	C2	24.022	0.6800678595502672	-2.8585812973434
4081	C	12.011	1.02796147698532	1.0717325373927493
4082	C2	24.022	0.8804867784862371	-1.6288790277256664
4083	C2	24.022	0.7120962052441085	-1.4381170942372787
4084	C2	24.022	0.4016472421691303	2.9412914684443976
4085	C	12.011	0.4923454836914499	1.3376609831339175
4086	C	12.011	0.9491164922702212	1.8775569854735397
4087	C3	36.033	0.865594803356771	1.4373777857623218
4088	C	12.011	0.34978922798057965	0.4718655505595127
4089	C	12.011	0.5357301006891099	-1.4258628586694047
4090	C2	24.022	0.29389036748890746	1.3831243299255562
4091	C2	24.022	0.39655629958222066	1.6699896683861128
4092	C	12.011	0.47755636292477405	1.9052694352058666
4093	C	12.011	0.4173715374545286	2.0765445277430885
4094	C	12.011	0.8334262334662235	-1.1709582338830438
4095	C	12.011	0.3820568472796316	0.17106106740124596
4096	C	12.011	0.4926401076389303	-0.8399058111329145
4097	C	12.011	0.21116354362454212	0.6359674249840107
4100	C	12.011	0.3676634304979928	-0.9767009335436513
4102	C	12.011	0.2631378555831829	1.0550538692789269
4103	C	12.011	0.6968589539362299	0.2115546423163277
4104	C2	24.022	0.21926871110422166	2.7663562864195472
4105	C	12.011	0.9045227502219891	0.9331321242943471
4106	C	12.011	0.45593751967944846	-1.300619779664942
4107	C	12.011	0.592933039986536	-0.687913235925687
4109	C	12.011	0.8933569688670225	-2.2110353144352692
4111	C	12.011	0.6275385640834898	1.7815697531370431
4112	C	12.011	0.7165331923686772	-0.5014677523278774
4113	C2	24.022	0.3963292563561453	0.5428309246207769
4114	C	12.011	0.9920290340737845	0.8592025695038468
4115	C2	24.022	0.41902063425133246	0.9578949070822812
4116	C	12.011	0.5802530254825352	-0.35394143054678956
4117	C	12.011	0.445275786106202	-1.0388803661520045
4118	C2	24.022	1.4154469190046566	-2.2164065737631797
4119	C	12.011	0.35222299992307077	-2.3488400942355323
4120	C	12.011	0.6836847464868598	-1.054306467514975
4121	C2	24.022	0.5739889843758423	-2.401353440916803
4122	C	12.011	0.35704536038978085	-2.718603200183132
4123	C2	24.022	0.6731367187452069	-1.7387979532198172
4124	C	12.011	0.8132799576644154	1.0767899050567282
4125	C	12.011	0.5906170028057743	-0.9495689620748087
4126	C2	24.022	0.2563307904643307	-0.6294771260197892
4127	C2	24.022	0.33817015478740725	-1.1104065261743152
4128	C2	24.022	0.5593533735775067	-1.031478361885943
4129	C2	24.022	0.23166049512438347	-2.2401037106807746
4130	C	12.011	0.15827120129491146	0.08879435407899336
4131	C	12.011	0.6839625904817483	1.7134025900224843
4133	C	12.011	0.7991007639823116	-0.6492513168971196
4134	C	12.011	1.1221568828614814	1.6496875252228678
4135	C	12.011	0.8884956380093892	-0.9104060100126377
4141	C	12.011	0.20410953071310248	-0.14820245983288793
4147	C	12.011	0.7250747650466627	0.4517177447844908
4156	C	12.011	1.001328798106334	0.28206646447115297
4159	C	12.011	0.7117953711778672	-0.19529217092711554
4168	C	12.011	0.43189925248968974	-0.1892446438097931
4175	C	12.011	1.1648062596694861	0.10545430189917968
Bottom
