Total	Internal	Translational
Top
37.7442695325	0.0	37.7442695325
21.5509667548	3.85839032905	17.6925764258
3.09087473474	0.0	3.09087473474
14.2968410991	7.49218327419e-33	14.2968410991
239.08346941	9.80764654036	229.275822869
231.244054325	5.67555744335	225.568496882
80.5609965529	4.79499729548e-31	80.5609965529
80.9360484513	0.0	80.9360484513
88.7100200362	4.79499729548e-31	88.7100200362
77.6681101801	1.19011799835	76.4779921817
211.097399937	5.95433875468	205.143061182
2.37100415618	0.0	2.37100415618
36.2187051799	5.99374661935e-32	36.2187051799
215.81843436	6.91924296398	208.899191396
9.61975336186	1.17065363659e-34	9.61975336186
201.333220964	0.648732457434	200.684488506
3.84619270327	0.35463288141	3.49155982186
30.8145481016	0.0	30.8145481016
186.795229827	5.29695356128	181.498276265
155.729459216	0.0	155.729459216
57.3532957905	7.973207214	49.3800885765
54.7382724464	6.93575978296	47.8025126635
37.7262390256	0.0	37.7262390256
94.8969392786	0.0	94.8969392786
194.952928737	7.96719792019	186.985730817
8.78153933555	5.590490565	3.19104877055
110.270412725	0.0	110.270412725
80.7958392602	1.91799891819e-30	80.7958392602
148.154832376	0.0	148.154832376
28.0687905886	0.0	28.0687905886
138.621555974	0.0	138.621555974
113.314453057	0.0	113.314453057
54.7849417898	2.99687330967e-32	54.7849417898
69.6695315111	9.58999459096e-31	69.6695315111
46.3251124174	6.18267204458	40.1424403728
120.194062812	2.87699837729e-30	120.194062812
182.504533491	4.81738929814	177.687144193
36.8713475009	1.19874932387e-31	36.8713475009
151.280002075	0.288157158416	150.991844917
132.98293154	0.0	132.98293154
49.297988383	1.19874932387e-31	49.297988383
207.556149904	1.36376300963	206.192386894
63.6123298344	0.0	63.6123298344
34.7657707572	4.79499729548e-31	34.7657707572
25.4801267954	0.0	25.4801267954
248.494138132	3.70862384347	244.785514288
243.594128621	0.0204842508134	243.57364437
120.656203644	1.19874932387e-31	120.656203644
134.018291771	0.0	134.018291771
165.177951401	1.45132018268	163.726631218
36.9818436579	0.0	36.9818436579
228.644492561	1.19874932387e-31	228.644492561
233.733115822	3.9364866896	229.796629132
349.049890727	4.08937138976	344.960519337
192.587735539	1.91799891819e-30	192.587735539
119.888242519	0.0	119.888242519
122.167890844	0.0	122.167890844
68.6606031313	0.0	68.6606031313
21.2199094597	4.65553835557	16.5643711042
179.68887976	1.19874932387e-31	179.68887976
45.4255407162	0.0	45.4255407162
87.1764857596	0.0	87.1764857596
80.9102905889	7.49218327419e-33	80.9102905889
71.5768514608	1.91799891819e-30	71.5768514608
40.474185923	1.19874932387e-31	40.474185923
201.115278569	6.05426887679	195.061009693
109.384011095	0.0	109.384011095
229.358272905	2.32129938235	227.036973522
41.6185433389	0.0	41.6185433389
64.6694315195	4.79499729548e-31	64.6694315195
120.424946756	5.87245563317	114.552491123
61.4748177222	0.0	61.4748177222
44.2788129871	0.0	44.2788129871
254.830483191	3.75015432191	251.08032887
62.4136424845	4.79499729548e-31	62.4136424845
112.653541044	1.07634617077	111.577194874
64.0540044762	0.0	64.0540044762
23.8236840043	0.0	23.8236840043
41.0840220306	0.0	41.0840220306
Bottom
