id	name	mass [g/mol]	latitude [rad]	longitude [rad]
Top
1158	C	12.011	0.14414195517127726	0.1587330362785165
1159	C	12.011	0.8373325962210658	-0.8122473575988418
1160	C2	24.022	0.22128407368914482	1.9041871233229155
1161	C	12.011	0.5154506458366307	3.087423627280612
1162	C2	24.022	1.4149992078190052	-0.17242764968036056
1163	C	12.011	0.6083578630418788	2.315001782160891
1164	C	12.011	0.27456575731108224	0.8522046749370221
1165	C2	24.022	0.263465935210769	-0.036129617255571476
1166	C2	24.022	0.9399932937377787	0.9893865876478862
1167	C	12.011	0.7102539102199852	-2.7568748528305003
1168	C2	24.022	0.5030043581794115	-1.6391073559794438
1169	C3	36.033	0.6730989678257441	-2.5525946611211165
1170	C2	24.022	0.8700625561787455	-0.814050783158298
1171	C2	24.022	0.9112463132000787	-0.40791688011859495
1172	C2	24.022	0.3921336998637119	0.941832074941428
1173	C	12.011	0.5312403586537262	2.9027714147652826
1174	C2	24.022	0.48978079352294895	-2.7387551545302573
1175	C	12.011	0.21574362256613483	-1.508931822403912
1176	C2	24.022	0.10402431508824493	-0.07774398684187463
1177	C2	24.022	0.18861407842134284	-2.156138722575752
1178	C	12.011	0.9158287718065535	-1.358704257957133
1179	C	12.011	0.632372276583304	0.5370056456943642
1180	C2	24.022	0.5279559341687998	-1.2888246927774514
1181	C	12.011	0.3297670022836253	-0.14416431677095523
1182	C2	24.022	0.8279674707394883	-1.4589212290886182
1183	C	12.011	0.4908957061912176	1.3476775681300697
1184	C	12.011	0.6309707339437468	-1.1750983213345547
1185	C3	36.033	0.25907848126993843	2.971764483872174
1186	C2	24.022	0.537280041419157	3.1412046228036927
1187	C2	24.022	0.855138777300818	-2.2155167304511174
1188	C3	36.033	0.14966026593803441	2.299604080775056
1189	C	12.011	0.20932200144479263	-1.6224073227660394
1190	C2	24.022	0.6220806697892377	-1.2776678574464346
1191	C	12.011	1.1351587388522857	-0.886141835345508
1192	C	12.011	1.038939106487065	-2.6634397801002625
1193	C2	24.022	0.8140832328408067	-2.968580315527506
1194	C2	24.022	1.2329810737475966	-2.611764206076238
1195	C	12.011	0.34792794999664445	-0.20539190301979068
1196	C2	24.022	0.8783280000110083	3.027157174415656
1197	C3	36.033	1.0864489299545788	-0.8783305397281793
1198	C	12.011	0.5240171636649125	-1.9204903727837035
1199	C2	24.022	0.9260757865907455	-2.5587582603551327
1200	C	12.011	0.2730593369571999	-0.5653108082454451
1201	C2	24.022	0.271673277114411	-2.820237540238459
1202	C	12.011	0.8585407368588348	-0.6791162644370967
1203	C2	24.022	0.32973669067981515	1.3502135120893934
1204	C2	24.022	0.9143806917551481	2.5408153463967613
1205	C	12.011	0.504787614151673	-1.3835999080468981
1206	C	12.011	0.25734353949895206	-0.36575467378500576
1207	C	12.011	0.6757055885483196	-0.19170103290564203
1208	C2	24.022	0.7700463560734789	0.10922878851365017
1209	C	12.011	0.7070571932842359	-0.9512004740127727
1211	C2	24.022	0.5603510280302242	2.584941286725115
1212	C	12.011	0.20153249467047948	0.7424801769956073
1215	C	12.011	0.471914986565786	2.068426480752134
1216	C2	24.022	0.21357848014182176	-2.7966082432527224
1217	C2	24.022	0.8460190561237413	0.9163795909505568
1218	C	12.011	0.5077567882177281	-2.7960134938644523
1219	C	12.011	0.46316277258389343	2.5393538476016007
1220	C	12.011	0.41239084288319744	-1.8642258179527778
1221	C2	24.022	1.005706237837218	-2.387002288086257
1222	C2	24.022	0.2272017557165896	-2.7641470631329805
1223	C2	24.022	0.5676163153488484	-1.715655652277783
1224	C	12.011	0.5073959267228116	1.6990522576831975
1225	C2	24.022	0.6228016433355544	1.8948373065191226
1226	C2	24.022	0.41000449738139333	0.8352567366198526
1227	C2	24.022	0.8785128971157554	1.381333782128529
1228	C2	24.022	1.2711515584585524	1.743622392017425
1229	C	12.011	0.32970478185166957	-2.216517033818954
1230	C	12.011	0.5047003910336104	1.9598235473334966
1231	C	12.011	0.7271306231778183	-2.095394677357006
1232	C	12.011	0.9293168315833895	2.5533819626604495
1233	C2	24.022	0.34555527545484777	-0.36238780571334445
1234	C2	24.022	0.3085266516496638	0.9341950573851515
1235	C	12.011	0.8270432861266335	2.6080021689443695
1236	C2	24.022	0.7594683203702054	2.787743388331795
1237	C	12.011	0.40167737672976367	-3.07843648399936
1238	C2	24.022	0.9494647002292693	-1.6542852861596213
1239	C	12.011	0.7323524715693757	0.16116124521942182
1240	C	12.011	0.7891016131275965	-0.9667286519790497
1241	C2	24.022	0.23828621069201955	3.1122247805696723
1242	C2	24.022	0.1277320327000531	1.2493475329845527
1243	C	12.011	0.5377088070048509	0.5671101727262858
1244	C	12.011	0.9394604015440622	-2.292188883147326
1245	C	12.011	0.6293419963386329	1.6728929578192389
1246	C	12.011	0.3878539467372806	-1.6740790916370367
1247	C3	36.033	0.3176403603527492	-0.7706655208968294
1248	C	12.011	0.04136040448562581	0.33648785836326867
1249	C	12.011	0.2741504667365717	-1.5709233527014028
1250	C	12.011	0.6649163780578087	1.6726289468167286
1251	C	12.011	0.6842501381752368	1.4419534249930988
1252	C2	24.022	1.0001761958789361	1.1534965382900644
1253	C2	24.022	0.5816444943394018	-1.4923626287529046
1254	C	12.011	0.7025931755835452	0.24940385168788282
1255	C2	24.022	1.2766451835666437	0.4758705310114431
1256	C	12.011	0.22769077247088934	-1.37098605149889
1257	C	12.011	0.2167416114674569	-0.14938180327909079
1258	C2	24.022	0.3104861057239705	-1.2275629590424935
1259	C	12.011	1.0017286318592344	-2.7509245986489734
1260	C	12.011	0.5562481949916649	0.7790759232616342
1261	C	12.011	0.5313244008239273	-2.727344290887469
1262	C	12.011	0.5713846907774482	0.9505472032975721
1264	C2	24.022	0.40104913591040764	1.5582801093981427
1265	C2	24.022	0.5427066504889316	1.5439112052408952
1266	C	12.011	0.17472933156033127	2.1795858544787543
1267	C	12.011	0.8831320464938938	2.300137629684619
1268	C2	24.022	0.894914102464294	0.20035435102610932
1269	C	12.011	0.7504607675613515	-0.3001150332722404
1270	C	12.011	0.667393334668089	0.6151680831135967
1271	C3	36.033	0.7760910186557369	0.8538666389900819
1272	C2	24.022	0.6086568125158676	2.088199098573852
1273	C2	24.022	0.1588899637341524	2.2001215254892275
1274	C2	24.022	0.6604141146690469	1.1575558694478048
1276	C2	24.022	1.4949595974134293	2.847095124952253
1277	C	12.011	1.1241527996523217	2.70466501923906
1278	C	12.011	0.6823233365514707	1.1787388425389027
1279	C2	24.022	0.646366719259552	0.9418520414071326
1280	C	12.011	0.31164645819305364	-0.13756786804279553
1281	C	12.011	0.743008640487694	1.1795974063814716
1282	C2	24.022	0.6537127259457315	1.312072425902071
1283	C	12.011	0.7820989737776618	0.9241781172783734
1284	C	12.011	0.7534569847662298	1.1199838817040009
