Total	Internal	Translational
Top
118.804807397	118.646964737	0.157842660381
5.27217535796	0.997731247639	4.27444411032
6.44781411651	1.97654756497	4.47126655154
37.2421275995	1.49843665484e-31	37.2421275995
11.9918702077	0.0	11.9918702077
1.42173957466	0.784272484623	0.637467090033
61.5556845446	12.7303294719	48.8253550728
25.7216977416	0.0	25.7216977416
174.450842906	0.0	174.450842906
12.0204378787	1.19874932387e-31	12.0204378787
25.1659613212	4.79499729548e-31	25.1659613212
137.886764592	0.0	137.886764592
33.5965164616	0.0	33.5965164616
58.3584691091	4.79499729548e-31	58.3584691091
15.0199062476	2.99687330967e-32	15.0199062476
18.035202247	3.1460836595	14.8891185875
5.80777298179	1.2848427204	4.52293026139
20.4234399902	1.19874932387e-31	20.4234399902
6.35746868445	0.0	6.35746868445
124.216651991	4.79499729548e-31	124.216651991
5.17699737699	0.0	5.17699737699
15.3395006816	2.27693253158	13.06256815
6.27210768961	4.31952728223	1.95258040739
21.1791902934	1.71679052345	19.4623997699
6.52612465353	1.19874932387e-31	6.52612465353
13.1147586767	4.09886386343	9.01589481323
244.148149848	0.0	244.148149848
1.54155595914	0.0	1.54155595914
17.8669433134	2.39749864774e-31	17.8669433134
1.31254630946	0.916531285514	0.396015023947
10.0953349512	6.95815577	3.13717918116
469.588056577	0.0	469.588056577
98.9337990342	0.0	98.9337990342
489.736488011	1.91799891819e-30	489.736488011
114.133598022	1.91799891819e-30	114.133598022
35.4377849857	3.95980414526	31.4779808405
86.5839937041	0.0	86.5839937041
332.43873239	0.0	332.43873239
27.9759029083	0.0	27.9759029083
20.1656106086	2.5153027595	17.6503078491
0.418933394735	0.0	0.418933394735
1.85941800681	1.04343900698	0.815978999828
1.6267037228	0.0	1.6267037228
84.9317213173	0.0	84.9317213173
279.958849102	0.0	279.958849102
12.6211618947	1.19874932387e-31	12.6211618947
3.53194350245	1.10286039073	2.42908311172
205.294385788	4.79499729548e-31	205.294385788
660.854862439	7.67199567277e-30	660.854862439
1.17694014534	0.623969886346	0.552970258998
145.992390265	0.0	145.992390265
12.5808793136	4.18521699331	8.39566232026
7.13257941981	0.395226700244	6.73735271957
60.9559510367	5.93196311717	55.0239879195
281.763714491	0.0	281.763714491
8.71986184082	6.11340712305	2.60645471777
127.577234455	4.79499729548e-31	127.577234455
3.85293328542	1.03937124091	2.81356204452
170.522782891	0.0	170.522782891
14.0245118514	0.534016714849	13.4904951366
28.9075253078	3.60059356122	25.3069317465
5.80154531277	1.22828487618	4.5732604366
14.8794790895	2.99687330967e-32	14.8794790895
661.330294746	3.30013634457	658.030158401
0.62433413515	0.00470192491445	0.619632210235
29.1274664217	9.32980884967	19.797657572
117.895920978	2.39749864774e-30	117.895920978
57.3734605074	6.44122133508	50.9322391723
251.5537629	0.0	251.5537629
61.2338211892	4.79499729548e-31	61.2338211892
5.34035024977	2.17473290966	3.16561734011
0.419170826604	0.0	0.419170826604
149.435235004	1.94796765129e-30	149.435235004
128.753721247	0.0	128.753721247
558.509025519	3.88247430954	554.62655121
3.26030934545	2.07514346688	1.18516587857
41.6596375035	0.0	41.6596375035
4.77162565493	0.534388821579	4.23723683335
200.911093814	1.91799891819e-30	200.911093814
482.867884158	0.0	482.867884158
15.2186680807	2.02202188412	13.1966461965
59.8034083433	1.87304581855e-33	59.8034083433
1.59129656631	0.258124283929	1.33317228238
27.5533473065	0.0	27.5533473065
486.611966436	0.0	486.611966436
10.2746127575	3.31171333308	6.96289942442
18.3889955554	8.40417251916	9.98482303628
17.2715722411	8.68774115209	8.58383108897
3.65874062153	1.87304581855e-33	3.65874062153
7.75125285577	5.2600838986	2.49116895717
516.960453588	9.33841693676	507.622036651
9.38732048575	2.90287573376	6.48444475199
277.416734042	0.0	277.416734042
6.45576537001	4.10658735553	2.34917801448
461.936592516	1.91799891819e-30	461.936592516
4.16427641335	1.74984277406	2.41443363929
1.17810188101	0.115014493469	1.06308738754
5.38423111809	2.16908940356	3.21514171453
127.152955093	0.0	127.152955093
18.1985886386	2.88118145177	15.3174071868
3.43536516366	1.55568391435	1.87968124931
10.3819712405	1.62065588635	8.76131535418
6.1599151295	0.890484629365	5.26943050013
4.33526375151	2.44985355238	1.88541019912
7.20539045727	2.08565539319	5.11973506409
0.6439655823	0.0	0.6439655823
3.99878701217	2.12846975194	1.87031726022
222.106700831	1.91799891819e-30	222.106700831
14.0905423257	7.13750553542	6.95303679029
2.0575208282	1.36500842759	0.692512400614
10.4491549212	0.0	10.4491549212
1.28599298234	0.573765241522	0.712227740813
4.08053605417	0.535662985882	3.54487306829
1.11498827232	7.49218327419e-33	1.11498827232
18.4595820946	3.47643061889	14.9831514757
42.6099628537	1.19874932387e-31	42.6099628537
3.91552091479	1.34772949992	2.56779141487
5.86862086947	0.0	5.86862086947
62.7041662679	4.79499729548e-31	62.7041662679
41.6524877675	1.19874932387e-31	41.6524877675
566.215845891	1.19874932387e-31	566.215845891
41.0112372061	4.79499729548e-31	41.0112372061
12.9696299206	1.19874932387e-31	12.9696299206
22.0885374961	3.997690566	18.0908469301
27.918025532	0.0	27.918025532
62.519160546	4.79499729548e-31	62.519160546
21.38992112	0.0	21.38992112
17.8535506468	2.410455617	15.4430950298
18.9219756954	0.0	18.9219756954
287.760132031	0.0	287.760132031
19.2922129319	0.0	19.2922129319
49.2749502488	0.0	49.2749502488
5.51987335759	0.361392284604	5.15848107298
13.9280307821	1.24711613572	12.6809146463
60.7469075408	0.0	60.7469075408
11.1283419076	0.945713147903	10.1826287597
30.9372597748	2.99687330967e-32	30.9372597748
