Total	Internal	Translational
Top
30.2301223543	0.315333739573	29.9147886147
3.23650637807	0.0	3.23650637807
30.242425779	0.0	30.242425779
5.61914706733	2.99687330967e-32	5.61914706733
2.5413185334	0.0	2.5413185334
8.32149704363	3.21295763464	5.10853940899
4.97796625346	1.93235104381	3.04561520965
53.633536097	0.0	53.633536097
121.893131077	0.0	121.893131077
6.48279078387	3.04149171175	3.44129907212
19.2614776612	1.88036240378e-33	19.2614776612
332.294321382	0.0	332.294321382
54.9023269608	11.8139489156	43.0883780452
393.020039157	7.67199567277e-30	393.020039157
670.440823015	8.09586652605	662.344956489
108.833967732	4.79499729548e-31	108.833967732
10.5532820811	3.81392872507	6.73935335601
18.9024281354	1.49843665484e-31	18.9024281354
382.410758599	0.0	382.410758599
590.213864953	0.0	590.213864953
1398.715519	12.5624995297	1386.15301947
15.0036151365	1.19874932387e-31	15.0036151365
368.272901668	2.53797289114	365.734928777
9.53688807363	3.78980649581	5.74708157782
47.808509566	0.0	47.808509566
49.5770913514	0.0	49.5770913514
59.870960982	0.0	59.870960982
306.625580681	8.15149540231e-30	306.625580681
18.3400985472	0.0	18.3400985472
90.4435262102	0.0	90.4435262102
1.05041867868	0.534908937996	0.51550974068
18.6776296293	7.24473943844	11.4328901909
18.409021382	2.29228446233	16.1167369197
0.734487088659	1.49843665484e-32	0.734487088659
44.1824802551	9.6649164237e-31	44.1824802551
20.1811344933	0.0	20.1811344933
134.454656027	1.19874932387e-31	134.454656027
2.19556915564	1.90366391157	0.291905244071
960.409267271	3.64884334532	956.760423925
341.638485718	0.0	341.638485718
22.2334523931	0.0	22.2334523931
558.991030933	0.0	558.991030933
20.3843184853	0.0	20.3843184853
315.206047496	0.0	315.206047496
4.3660390503	0.0	4.3660390503
255.696620211	0.0	255.696620211
63.6485119936	0.0	63.6485119936
1090.35428187	10.5567379215	1079.79754395
61.8755377793	0.0	61.8755377793
217.683793671	1.91799891819e-30	217.683793671
2.95803317695	2.64755574557	0.310477431385
39.7025639563	1.19874932387e-31	39.7025639563
1239.87127	2.87968502329	1236.99158497
1072.20495239	8.30526443458	1063.89968796
175.625814099	0.0	175.625814099
66.7487328674	4.79499729548e-31	66.7487328674
217.612851289	0.0	217.612851289
935.152244598	0.0	935.152244598
575.255086831	9.61996332406e-30	575.255086831
341.770819733	1.91799891819e-30	341.770819733
469.954162508	0.0	469.954162508
2.91843159237	0.0	2.91843159237
529.518401606	0.0	529.518401606
675.650231897	0.0	675.650231897
466.780280413	0.0	466.780280413
567.720499679	0.0	567.720499679
667.719798692	0.0	667.719798692
1172.25226472	1.65598409686	1170.59628063
1255.15548145	2.50090851945	1252.65457293
541.472694002	1.91799891819e-30	541.472694002
487.65923291	0.0	487.65923291
542.760712095	1.19874932387e-31	542.760712095
622.963303324	3.83599783638e-30	622.963303324
1293.42308962	6.26466739806	1287.15842223
472.490915826	0.0	472.490915826
473.783489717	0.0	473.783489717
547.60039353	0.0	547.60039353
106.510953512	0.0	106.510953512
644.42678086	0.0	644.42678086
1323.13289991	2.9587954723	1320.17410444
586.535430398	1.91799891819e-30	586.535430398
176.521209366	4.79499729548e-31	176.521209366
1183.11785612	0.483889829731	1182.63396629
599.840850176	0.0	599.840850176
484.504894615	4.79499729548e-31	484.504894615
662.348230662	0.0	662.348230662
652.934701844	1.91799891819e-30	652.934701844
520.328591546	0.0	520.328591546
532.279280185	0.0	532.279280185
744.870473622	1.91799891819e-30	744.870473622
541.563068858	0.0	541.563068858
618.968975854	0.0	618.968975854
479.982291513	1.91799891819e-30	479.982291513
718.605056675	7.67199567277e-30	718.605056675
405.142522127	0.0	405.142522127
648.308302346	0.0	648.308302346
Bottom
