id	name	mass [g/mol]	latitude [rad]	longitude [rad]
Top
3198	C	12.011	0.9492690255319535	1.8495251665999914
3199	C2	24.022	0.7448668964097521	0.6521581958486913
3200	C	12.011	0.7652451584809068	-0.7041561435172585
3201	C	12.011	0.8631075084886108	0.6805411408504316
3202	C2	24.022	0.8548167812903039	1.8339636961414494
3203	C2	24.022	0.810258595347735	3.118482983127294
3204	C3	36.033	0.796636160741148	1.7501853940557603
3205	C2	24.022	0.12489632142165974	-2.684536057117355
3206	C	12.011	0.5423501062060465	2.0412646739947222
3207	C	12.011	0.7239053094431508	0.7759976842809846
3208	C2	24.022	1.181490649754727	-0.3815183757839969
3209	C3	36.033	1.0328592294063705	0.5972650377925969
3210	C2	24.022	0.5404224559620733	1.8469550992441819
3211	C	12.011	0.5787668043672172	2.5807676454013566
3212	C2	24.022	0.8235264783537427	-0.5994337280901876
3213	C2	24.022	0.5050824333553281	-0.6431652113713828
3214	C2	24.022	0.5201439249848849	2.280431260087593
3215	C2	24.022	0.5041284158965016	-2.8505867190252783
3216	C	12.011	0.5639395307221012	1.6045825039349217
3217	C	12.011	0.741746949500938	-0.30151798066873603
3218	C2	24.022	1.1963249303198595	2.079731696194942
3219	C	12.011	0.022704646453041533	0.06615237243076183
3220	C2	24.022	1.2267435174331964	2.8036639174805735
3221	C2	24.022	0.5817696319520154	3.0251504240803415
3222	C2	24.022	0.4317789665193289	1.156768405492523
3223	C2	24.022	0.8613422123928837	-0.10790957589940546
3224	C	12.011	0.5716674937141752	-1.0394039487299427
3225	C2	24.022	0.18266416631494645	-0.8670170762159615
3226	C	12.011	0.5561736328937341	-0.820093249982483
3227	C	12.011	0.4638008417580199	2.176042520850183
3228	C	12.011	0.9947143216562069	0.9404241964808439
3229	C2	24.022	0.7949576020508892	0.2525879586592585
3230	C2	24.022	0.573460428755614	-2.5633542568250784
3231	C2	24.022	0.6127993613713275	-1.8048007596763664
3232	C	12.011	0.23649113451368675	-3.0240372570656002
3233	C2	24.022	0.46844414403575885	2.0717829513987915
3234	C	12.011	0.5723487361638897	-0.5174818993245878
3235	C	12.011	0.30423148328202454	-0.35761335049296905
3236	C	12.011	0.9360595350057151	2.2786944258725432
3237	C	12.011	0.9044380765554368	2.606609441313128
3238	C2	24.022	0.21432464632822998	-3.042916766869333
3239	C	12.011	0.433127781185396	-0.6232430169472248
3240	C2	24.022	0.295713327037526	-2.8353584428252896
3241	C2	24.022	0.9345836305869487	-0.7060688269215275
3242	C2	24.022	0.9063900125642576	0.5816496757634986
3243	C	12.011	0.8731261627400719	-0.9928350817275653
3244	C	12.011	0.7608013087478457	-0.28062014433504556
3245	C2	24.022	0.6595524598211127	1.2560322676593898
3246	C	12.011	0.7340730052646158	2.2535790816784265
3247	C	12.011	1.1372099218676137	-2.8614619989409866
3248	C2	24.022	0.8137196514197478	-0.7450111853074157
3249	C2	24.022	0.5988171071722932	-0.008678575305844786
3250	C2	24.022	1.0710419342431785	2.428163795725915
3251	C	12.011	0.6734963659211773	-2.962749840629268
3252	C	12.011	0.5200435143052818	-0.2243658883189415
3253	C	12.011	0.9446967398485917	-2.883493625585305
3254	C2	24.022	0.17329735316985542	-0.21058898509907684
3255	C3	36.033	0.5903347122004452	-2.2246863968959816
3256	C3	36.033	0.664091066551185	0.27904659406317456
3257	C	12.011	1.1089630706438351	-1.1986249427375217
3258	C2	24.022	0.7549766499386653	-0.8880462579172659
3259	C2	24.022	0.3248998975982629	1.4721737656066767
3260	C	12.011	0.854286623884821	-2.6889395268099836
3261	C	12.011	0.6425271438845264	-0.6759046280127116
3262	C	12.011	0.7998372035740334	0.9038503861852563
